address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
3003 4 ST NW,Maple,759000.0,53.473513,-113.3469862,405449.97,509939.45,614428.93,208978.96000000008,249060.55,-249060.55,99.0,high,
728 43 AV NW,Maple,619800.0,53.4806933,-113.3556976,504578.68,663919.31,823259.94,318681.25999999995,-44119.310000000056,44119.310000000056,99.0,high,
4452 6 ST NW,Maple,609000.0,53.4773759,-113.352262,396380.53,473081.26,549781.99,153401.45999999996,135918.74,-135918.74,99.0,high,
514 Maple Wood CR NW,South Industrial District,185000.0,53.5044968,-113.3617383,55200.24,72631.9,90063.56,34863.32,112368.1,-112368.1,87.0,high,
1634 66 Ave - Maple Ridge MH PA NW,Maple Ridge,169000.0,53.5043109,-113.3647435,97591.01,120506.25,143421.49,45830.479999999996,48493.75,-48493.75,99.0,high,
1622 66 AV S NW,Maple Ridge,154900.0,53.5043109,-113.3647435,97591.01,120506.25,143421.49,45830.479999999996,34393.75,-34393.75,99.0,high,
#12 Cliff Crescent NW,South Industrial District,45900.0,53.4980507,-113.3614671,74381.34,97870.18,121359.02,46977.68000000001,-51970.17999999999,51970.17999999999,87.0,high,
215 Oak Wood Drive NW,South Industrial District,159900.0,53.5035925,-113.3657738,97668.46,120601.88,143535.3,45866.83999999998,39298.119999999995,-39298.119999999995,87.0,high,
407 Oak Wood CR NW,South Industrial District,159900.0,53.505268,-113.3630534,62444.71,82164.09,101883.47,39438.76,77735.91,-77735.91,87.0,high,
106 oakwood RD NW,Maple Ridge,119000.0,53.5043109,-113.3647435,97591.01,120506.25,143421.49,45830.479999999996,-1506.25,1506.25,99.0,high,
245 Oak Wood Drive NW NW,South Industrial District,159900.0,53.5035925,-113.3657738,97668.46,120601.88,143535.3,45866.83999999998,39298.119999999995,-39298.119999999995,87.0,high,
2 Cliff CR NW,South Industrial District,124900.0,53.4980507,-113.3614671,74381.34,97870.18,121359.02,46977.68000000001,27029.820000000007,-27029.820000000007,87.0,high,
25 Ridgeway Drive NW,South Industrial District,129900.0,53.502424,-113.3627263,50473.45,66412.43,82351.41,31877.960000000006,63487.57000000001,-63487.57000000001,87.0,high,
67 Ridgeway Dr NW,South Industrial District,137500.0,53.5024694,-113.3581731,932403.99,1226847.35,1521290.71,588886.72,-1089347.35,1089347.35,87.0,high,
#301 9707 105 ST NW,Rosslyn,299000.0,53.5941775,-113.500729,329384.74,394005.3,458625.86,129241.12,-95005.29999999999,95005.29999999999,99.0,high,
#311 9640 105 ST NW,Rossdale,269900.0,53.5336166,-113.5015998,196493.82,254968.65,313443.48,116949.65999999997,14931.350000000006,-14931.350000000006,99.0,high,
#1203 9720 106 ST NW,Spruce Avenue,245000.0,53.5700694,-113.5017374,720863.15,948504.15,1176145.15,455281.9999999999,-703504.15,703504.15,87.0,high,
#203 9707 106 ST NW,Downtown,264999.0,53.5343483,-113.5027663,181472.53,238779.64,296086.75,114614.22,26219.359999999986,-26219.359999999986,99.0,high,
#606 9720 106 ST NW,Downtown,515000.0,53.5346258,-113.5030747,377666.4,496929.48,616192.56,238526.16000000003,18070.52000000002,-18070.52000000002,99.0,high,
#1206 9819 104 ST NW,Downtown,269900.0,53.5363952,-113.498774,191707.84,237926.07,284144.3,92436.45999999999,31973.929999999993,-31973.929999999993,99.0,high,
#415 10503 98 AV NW,Downtown,189500.0,53.5355182,-113.501395,135616.03,178442.15,221268.27,85652.23999999999,11057.850000000006,-11057.850000000006,99.0,high,
#1403 9725 106 ST NW,Spruce Avenue,160000.0,53.5700694,-113.5017374,720863.15,948504.15,1176145.15,455281.9999999999,-788504.15,788504.15,87.0,high,
#2504 9720 106 ST NW,Spruce Avenue,799900.0,53.5700694,-113.5017374,720863.15,948504.15,1176145.15,455281.9999999999,-148604.15000000002,148604.15000000002,87.0,high,
