address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
8146 27 AV NW,Meyonohk,332500.0,53.4575297,-113.4565202,290450.96,382172.31,473893.66,183442.69999999995,-49672.31,49672.31,87.0,high,
1714 LAKEWOOD RD S NW,Meyonohk,219900.0,53.4541271,-113.4599641,212459.3,248690.69,284922.08,72462.78000000003,-28790.690000000002,28790.690000000002,87.0,high,
#53 2703 79 ST NW,Meyonohk,177000.0,53.4585221,-113.4535169,692596.62,907942.3,1123287.98,430691.36,-730942.3,730942.3,87.0,high,
1308 LAKEWOOD W NW,Meyonohk,209900.0,53.4584111,-113.4599101,1920221.9,2526607.76,3132993.62,1212771.7200000002,-2316707.76,2316707.76,99.0,high,
1009 MILLBOURNE ROAD EAST NW NW,Michaels Park,263900.0,53.4779719,-113.4444034,346006.61,416890.0,487773.39,141766.78000000003,-152990.0,152990.0,99.0,high,
1096 MILLBOURNE RD E NW,Michaels Park,214500.0,53.4812374,-113.4491172,18545.63,24402.15,30258.67,11713.039999999997,190097.85,-190097.85,99.0,high,
4320 74 ST NW,Virginia Park,549000.0,53.5600675,-113.4498849,319273.77,420097.07,520920.37,201646.59999999998,128902.93,-128902.93,99.0,high,
1049 MILLBOURNE RD E NW,Michaels Park,265000.0,53.4779719,-113.4444034,346006.61,416890.0,487773.39,141766.78000000003,-151890.0,151890.0,99.0,high,
#6 3839 76 ST NW,Michaels Park,135000.0,53.4749353,-113.4501945,110959.72,128467.46,145975.2,35015.48000000001,6532.539999999994,-6532.539999999994,87.0,high,
#5 3855 76 ST NW,Michaels Park,149999.0,53.4752188,-113.450389,111027.79,128546.27,146064.75,35036.96000000001,21452.729999999996,-21452.729999999996,87.0,high,
#3 7404 38 AV NW,Kiniski Gardens,145000.0,53.4724148,-113.4010107,421251.88,528940.49,636629.1,215377.21999999997,-383940.49,383940.49,99.0,high,
9213 97 ST NW,Delton,3800000.0,53.5785138,-113.4922897,446.46,587.45,728.44,281.9800000000001,3799412.55,-3799412.55,87.0,high,
#602 8728 GATEWAY BV NW,Strathcona,899900.0,53.5231349,-113.4961292,165362.68,217582.48,269802.28,104439.60000000003,682317.52,-682317.52,99.0,high,
10545 67 AV NW,Allendale,452000.0,53.5032794,-113.5026608,396521.09,521738.28,646955.47,250434.37999999995,-69738.28000000003,69738.28000000003,99.0,high,
8318 79 AV NW,King Edward Park,639900.0,53.5152411,-113.4562152,520847.53,685325.7,849803.87,328956.33999999997,-45425.69999999995,45425.69999999995,99.0,high,
9736 78 Avenue NW,Ritchie,879000.0,53.5144564,-113.4815585,510237.94,671365.71,832493.48,322255.54,207634.29000000004,-207634.29000000004,99.0,high,
#25 9926 80 AV NW,Ritchie,225000.0,53.5163206,-113.4874517,176533.04,211117.95,245702.86,69169.81999999998,13882.049999999988,-13882.049999999988,99.0,high,
10506 68 AV NW,Allendale,1295000.0,53.5046784,-113.5010084,805134.55,1059387.56,1313640.57,508506.02,235612.43999999994,-235612.43999999994,99.0,high,
7720 85 AV NW,Idylwylde,425000.0,53.5208229,-113.4465157,337503.69,444083.8,550663.91,213160.22000000003,-19083.79999999999,19083.79999999999,99.0,high,
6034 105 ST NW,Pleasantview,629900.0,53.4971853,-113.4994486,435113.92,572518.32,709922.72,274808.8,57381.68000000005,-57381.68000000005,99.0,high,
#102 10149 83 AV NW,Strathcona,129900.0,53.5188808,-113.4933764,100442.34,132160.97,163879.6,63437.26000000001,-2260.970000000001,2260.970000000001,99.0,high,
10519 87 AV NW,Strathcona,789900.0,53.5224186,-113.5013332,283770.67,373382.46,462994.25,179223.58000000002,416517.54,-416517.54,99.0,high,
#205 8515 99 ST NW,Strathcona,188000.0,53.5215692,-113.4856821,170176.76,223916.79,277656.82,107480.06,-35916.79000000001,35916.79000000001,99.0,high,
6608 84 ST NW,Argyll,539000.0,53.5040624,-113.4575543,400858.09,510232.23,619606.37,218748.27999999997,28767.77000000002,-28767.77000000002,99.0,high,
#5 308 Jackson RD NW,Jackson Heights,290000.0,53.4826954,-113.4107786,424771.7,506685.92,588600.14,163828.44,-216685.91999999998,216685.91999999998,99.0,high,
5979 40 AV NW,Mill Woods,180000.0,53.4773533,-113.4285711,342394.47,436338.58,530282.69,187888.21999999997,-256338.58000000002,256338.58000000002,99.0,high,
39 GRAND MEADOW CR NW,Mill Woods,544900.0,53.4754525,-113.4304878,369747.16,445855.74,521964.32,152217.16000000003,99044.26000000001,-99044.26000000001,99.0,high,
6032 38 AV NW,Mill Woods,255000.0,53.4737607,-113.4292361,406889.26,535380.6,663871.94,256982.67999999993,-280380.6,280380.6,87.0,high,
296 GREENOCH CR NW,Mill Woods,599900.0,53.4777964,-113.4255797,346916.69,433067.68,519218.67,172301.97999999998,166832.32,-166832.32,99.0,high,
1238 JOYCE CR NW,Jackson Heights,534888.0,53.4853734,-113.4074979,414180.43,493844.19,573507.95,159327.51999999996,41043.81,-41043.81,99.0,high,
1509 JARVIS CR NW,Jackson Heights,395000.0,53.4853817,-113.4141952,346069.05,408452.04,470835.03,124765.98000000004,-13452.039999999979,13452.039999999979,99.0,high,
#1402 6608 28 AV NW,Mill Woods Town Centre Area,330000.0,53.4592805,-113.4241934,107727.08,141746.16,175765.24,68038.15999999999,188253.84,-188253.84,87.0,high,
#115 6608 28 AV NW,Mill Woods Town Centre Area,195000.0,53.4592805,-113.4241934,107727.08,141746.16,175765.24,68038.15999999999,53253.84,-53253.84,87.0,high,
#218 6608 28 AV NW,Mill Woods Town Centre Area,200000.0,53.4592805,-113.4241934,107727.08,141746.16,175765.24,68038.15999999999,58253.84,-58253.84,87.0,high,
#1401 6608 28 AV NW,Mill Woods Town Centre Area,524900.0,53.4592805,-113.4241934,107727.08,141746.16,175765.24,68038.15999999999,383153.83999999997,-383153.83999999997,87.0,high,
#318 2508 50 ST NW,Miller,254900.0,53.602438,-113.416865,1872633.26,2463991.13,3055349.0,1182715.74,-2209091.13,2209091.13,87.0,high,
#316 237 YOUVILLE DR NW NW,Tawa,237600.0,53.4606038,-113.4250758,5475650.56,6270996.45,7066342.34,1590691.7800000003,-6033396.45,6033396.45,87.0,high,
#238 2741 55 ST NW,Mill Woods Town Centre Area,249000.0,53.4587533,-113.4251703,145903.72,191978.58,238053.44,92149.72,57021.42000000001,-57021.42000000001,87.0,high,
#407 2508 50 ST NW,Miller,144900.0,53.602438,-113.416865,1872633.26,2463991.13,3055349.0,1182715.74,-2319091.13,2319091.13,87.0,high,
2508 49 ST NW,Weinlos,365400.0,53.4564013,-113.4181885,302042.13,373880.16,445718.19,143676.06,-8480.159999999974,8480.159999999974,99.0,high,
#302 2508 50 ST NW,Miller,149900.0,53.602438,-113.416865,1872633.26,2463991.13,3055349.0,1182715.74,-2314091.13,2314091.13,87.0,high,
2415 49A ST NW,Weinlos,400000.0,53.4558214,-113.4191713,306367.97,376581.23,446794.49,140426.52000000002,23418.77000000002,-23418.77000000002,99.0,high,
15117 MILLER BV NW,Miller,474900.0,53.6104039,-113.4120843,372559.64,472317.35,572075.06,199515.42000000004,2582.6500000000233,-2582.6500000000233,99.0,high,
15215 44 ST NW NW,Jackson Heights,624900.0,53.4811602,-113.4098847,455111.0,553979.48,652847.96,197736.95999999996,70920.52000000002,-70920.52000000002,99.0,high,
14816 47 ST NW,Miller,375000.0,53.6102661,-113.4139588,330381.84,393659.46,456937.08,126555.23999999999,-18659.46000000002,18659.46000000002,99.0,high,
#59 14803 MILLER BV NW,Miller,379900.0,53.610797,-113.4114935,342160.85,425911.6,509662.35,167501.5,-46011.59999999998,46011.59999999998,99.0,high,
#41 14428 MILLER BV NW,Miller,329900.0,53.6082139,-113.4149424,387947.72,472277.49,556607.26,168659.54000000004,-142377.49,142377.49,99.0,high,
4619 151 AV NW,Caernarvon,509900.0,53.6111557,-113.5183692,325480.61,388556.24,451631.87,126151.26000000001,121343.76000000001,-121343.76000000001,99.0,high,
4503 149 AV NW,Miller,499900.0,53.6111729,-113.4104497,335565.71,399876.49,464187.27,128621.56,100023.51000000001,-100023.51000000001,99.0,high,
4515 149 AV NW,Miller,359900.0,53.6111805,-113.4106642,342619.5,406528.3,470437.1,127817.59999999998,-46628.29999999999,46628.29999999999,99.0,high,
#2 14428 MILLER BLVD NW NW,Miller,329000.0,53.6082139,-113.4149424,387947.72,472277.49,556607.26,168659.54000000004,-143277.49,143277.49,99.0,high,
4804 147 AV NW,Evansdale,459555.0,53.6085292,-113.4788863,77834.62,102413.97,126993.32,49158.70000000001,357141.03,-357141.03,87.0,high,
15216 49 ST NW,Miller,569900.0,53.6150899,-113.4160299,441901.21,531017.64,620134.07,178232.85999999993,38882.359999999986,-38882.359999999986,99.0,high,
4628 37 AV NW,Minchau,499649.0,53.4676189,-113.4123593,337376.92,414557.83,491738.74,154361.82,85091.16999999998,-85091.16999999998,99.0,high,
3530 42 Street NW,Minchau,249900.0,53.4656542,-113.4059792,337490.12,435614.84,533739.56,196249.44000000006,-185714.84000000003,185714.84000000003,99.0,high,
3824 48 ST NW,Minchau,518900.0,53.470929,-113.4146241,343556.13,422328.68,501101.23,157545.09999999998,96571.32,-96571.32,99.0,high,
3419 48 ST NW,Capilano,175000.0,53.5535476,-113.4164817,390908.44,514353.21,637797.98,246889.53999999998,-339353.21,339353.21,87.0,high,
#4 6120 118 AV NW,Montrose,99000.0,53.5706351,-113.4364314,57593.97,75781.54,93969.11,36375.14,23218.460000000006,-23218.460000000006,99.0,high,
7020 118 AVE NW,Montrose,265000.0,53.5704975,-113.4500405,158922.38,209108.4,259294.42,100372.04000000001,55891.600000000006,-55891.600000000006,99.0,high,
12215 63 ST NW NW,Fulton Place,398900.0,53.5427462,-113.4293977,10227.55,14048.83,17870.11,7642.560000000001,384851.17,-384851.17,96.5,high,
12041/43 67 ST NW NW,Montrose,715000.0,53.574478,-113.4917981,176969.66,232854.82,288739.98,111770.31999999998,482145.18,-482145.18,99.0,high,
5911 119 AV NW,Newton,374900.0,53.5719115,-113.4215177,221733.47,291754.57,361775.67,140042.19999999998,83145.43,-83145.43,99.0,high,
11927 67 ST NW,Montrose,220000.0,53.5726713,-113.4443531,219617.86,275022.5,330427.14,110809.28000000003,-55022.5,55022.5,99.0,high,
11907 70 ST NW,Montrose,500000.0,53.5721812,-113.4489616,184503.84,242768.21,301032.58,116528.74000000002,257231.79,-257231.79,99.0,high,
12124 66 Street,Montrose,519000.0,53.5757218,-113.4432407,158656.82,208758.98,258861.14,100204.32,310241.02,-310241.02,99.0,high,
12033 54 ST NW,Newton,449900.0,53.5744197,-113.4243958,271508.29,357247.75,442987.21,171478.92000000004,92652.25,-92652.25,99.0,high,
12220 51 ST NW,Highlands,379900.0,53.577279,-113.4201061,302167.17,361396.63,420626.09,118458.92000000004,18503.369999999995,-18503.369999999995,99.0,high,
12107 53 ST NW,Highlands,422500.0,53.5753087,-113.4228681,284811.79,349149.47,413487.15,128675.36000000004,73350.53000000003,-73350.53000000003,99.0,high,
11926/11928 56 ST NW,Newton,425000.0,53.5726661,-113.4280745,269433.13,354517.27,439601.41,170168.27999999997,70482.72999999998,-70482.72999999998,99.0,high,
12211 52 ST NW,Highlands,498000.0,53.5770324,-113.4213308,298389.77,353649.4,408909.03,110519.26000000001,144350.59999999998,-144350.59999999998,99.0,high,
13519 107A AV NW,North Glenora,409000.0,53.5514114,-113.5571205,361476.73,454413.1,547349.47,185872.74,-45413.09999999998,45413.09999999998,99.0,high,
10851 141 ST NW,North Glenora,567000.0,53.5541297,-113.5642938,400238.95,494428.98,588619.01,188380.06,72571.02000000002,-72571.02000000002,99.0,high,
13909 107A AV NW,North Glenora,615000.0,53.5514189,-113.5625918,426242.93,560845.96,695448.99,269206.06,54154.04000000004,-54154.04000000004,99.0,high,
13576 107A AV NW NW,North Glenora,589000.0,53.5519857,-113.5607965,408454.39,537439.99,666425.59,257971.19999999995,51560.01000000001,-51560.01000000001,99.0,high,
13919 107A AVE NW,North Glenora,409000.0,53.5514358,-113.5632353,306681.33,403528.06,500374.79,193693.45999999996,5471.940000000002,-5471.940000000002,99.0,high,
13539 110A AV NW,North Glenora,559000.0,53.5579731,-113.5585319,415694.57,521364.2,627033.83,211339.25999999995,37635.79999999999,-37635.79999999999,99.0,high,
8816 137 AV NW,Clareview,345000.0,53.5974408,-113.4079326,3968735.32,5222020.16,6475305.0,2506569.68,-4877020.16,4877020.16,87.0,high,
196 ROSELAND VG NW,Northmount,209900.0,53.6036339,-113.474672,199319.56,246356.84,293394.12,94074.56,-36456.84,36456.84,99.0,high,
14008 83 ST NW,Northmount,414900.0,53.6023939,-113.4687519,348286.09,415721.83,483157.57,134871.47999999998,-821.8300000000163,821.8300000000163,99.0,high,
321 NORTHGATE TC NW,Northmount,227900.0,53.6047455,-113.4747932,184610.86,218705.03,252799.2,68188.34000000003,9194.970000000001,-9194.970000000001,99.0,high,
156 OEMING RD NW,Bulyea Heights,425000.0,53.4680275,-113.5721052,513179.81,641233.7,769287.59,256107.77999999997,-216233.69999999995,216233.69999999995,87.0,high,
174 OEMING RD NW,Bulyea Heights,450000.0,53.4680275,-113.5721052,513179.81,641233.7,769287.59,256107.77999999997,-191233.69999999995,191233.69999999995,87.0,high,
121 BULYEA RD NW,Bulyea Heights,352900.0,53.4678647,-113.5736957,494899.82,651183.98,807468.14,312568.32,-298283.98,298283.98,99.0,high,
740 WILKIN CL NW,Oleskiw,639000.0,53.495837,-113.6063582,492816.56,580480.34,668144.12,175327.56,58519.66000000003,-58519.66000000003,99.0,high,
71 WAKINA DR NW,Oleskiw,974900.0,53.5027501,-113.60855,577264.78,689551.63,801838.48,224573.69999999995,285348.37,-285348.37,99.0,high,
632 WAHSTAO RD NW,Oleskiw,675000.0,53.4991904,-113.6107722,529119.37,638751.57,748383.77,219264.40000000002,36248.43000000005,-36248.43000000005,99.0,high,
115 WALKER RD NW,Oleskiw,579900.0,53.5008222,-113.6073113,533722.09,634093.47,734464.85,200742.76,-54193.46999999997,54193.46999999997,99.0,high,
613 WHISTON WD NW,Oleskiw,724900.0,53.4947852,-113.6094072,564647.54,720828.99,877010.44,312362.8999999999,4071.0100000000093,-4071.0100000000093,99.0,high,
14 PRESTIGE PT NW,Oleskiw,1139000.0,53.4905901,-113.605412,776324.95,928560.95,1080796.95,304472.0,210439.05000000005,-210439.05000000005,99.0,high,
158 WOLF RIDGE PL NW,Oleskiw,975000.0,53.5004358,-113.5998243,764401.77,998754.49,1233107.21,468705.43999999994,-23754.48999999999,23754.48999999999,99.0,high,
22 PRESTIGE PT NW,Oleskiw,975000.0,53.4905901,-113.605412,776324.95,928560.95,1080796.95,304472.0,46439.05000000005,-46439.05000000005,99.0,high,
18 WILLOWDALE PL NW,Ormsby Place,239900.0,53.5021734,-113.6324439,208790.54,244497.34,280204.14,71413.6,-4597.3399999999965,4597.3399999999965,99.0,high,
18325 66 AV NW,Ormsby Place,190000.0,53.500631,-113.6385214,367478.34,442038.03,516597.72,149119.37999999995,-252038.03000000003,252038.03000000003,87.0,high,
18315 68 AV NW,Ormsby Place,435000.0,53.5021634,-113.6384753,344871.31,415052.71,485234.11,140362.8,19947.28999999998,-19947.28999999998,99.0,high,
17815 62C AV NW,Ormsby Place,458800.0,53.4972259,-113.6310902,338475.41,435324.78,532174.15,193698.74000000005,23475.219999999972,-23475.219999999972,99.0,high,
#302 6204 180 ST NW,Ormsby Place,114000.0,53.4969687,-113.6345312,364467.41,479562.38,594657.35,230189.94,-365562.38,365562.38,87.0,high,
1233 ORMSBY LN NW,Ormsby Place,475000.0,53.498222,-113.6545674,406302.0,488616.4,570930.8,164628.80000000005,-13616.400000000023,13616.400000000023,99.0,high,
454 ORMSBY RD W NW,Ormsby Place,579900.0,53.5010084,-113.6538933,462115.38,547334.85,632554.32,170438.93999999994,32565.150000000023,-32565.150000000023,99.0,high,
#308 6208 180 ST NW,Ormsby Place,194900.0,53.4970823,-113.6343207,364396.25,479468.75,594541.25,230145.0,-284568.75,284568.75,99.0,high,
18124 68Ave NW,Ormsby Place,498900.0,53.5024993,-113.6362356,328573.79,432333.94,536094.09,207520.3,66566.06,-66566.06,99.0,high,
#107 6208 180 ST NW,Ormsby Place,130000.0,53.4970823,-113.6343207,364396.25,479468.75,594541.25,230145.0,-349468.75,349468.75,99.0,high,
6340 184 ST NW,Belmead,239900.0,53.5247037,-113.6419182,235485.88,309849.84,384213.8,148727.91999999998,-69949.84000000003,69949.84000000003,99.0,high,
#206 6212 180 ST NW,Ormsby Place,155000.0,53.4972394,-113.634144,292535.87,384915.62,477295.37,184759.5,-229915.62,229915.62,99.0,high,
5208 90 AV NW,Suder Greens,449000.0,53.5239281,-113.6871038,356981.79,442811.28,528640.77,171658.98000000004,6188.719999999972,-6188.719999999972,99.0,high,
9319 OTTEWELL RD NW,Ottewell,550000.0,53.5349641,-113.4373769,350307.75,450207.53,550107.31,199799.56000000006,99792.46999999997,-99792.46999999997,99.0,high,
9043 52 ST NW,Ottewell,588000.0,53.524287,-113.4197253,378588.39,471861.14,565133.89,186545.5,116138.85999999999,-116138.85999999999,99.0,high,
5711 95 AV NW,Ottewell,575000.0,53.53462,-113.4230023,359501.99,449007.8,538513.61,179011.62,125992.20000000001,-125992.20000000001,99.0,high,
9034 60 ST NW,Ottewell,385000.0,53.5256212,-113.4256519,259075.23,313859.19,368643.15,109567.92000000001,71140.81,-71140.81,99.0,high,
7016 92A AV NW,Ottewell,549900.0,53.5278229,-113.4363402,398596.21,482098.47,565600.73,167004.51999999996,67801.53000000003,-67801.53000000003,99.0,high,
6719 95 AV NW,Ottewell,739000.0,53.5343291,-113.432374,495060.25,638341.03,781621.81,286561.56000000006,100658.96999999997,-100658.96999999997,99.0,high,
6007 95 AV NW,Ottewell,459900.0,53.5346203,-113.4258454,363170.12,449162.26,535154.4,171984.28000000003,10737.73999999999,-10737.73999999999,99.0,high,
9616 64 ST NW,McLeod,529000.0,53.6119683,-113.4402828,344203.54,402142.29,460081.04,115877.5,126857.71000000002,-126857.71000000002,99.0,high,
5304 92 AV NW,Strathcona,449800.0,53.5273173,-113.483958,529550.5,696776.98,864003.46,334452.95999999996,-246976.97999999998,246976.97999999998,99.0,high,
6808 95 AV NW,Ottewell,559900.0,53.5343311,-113.4339499,375095.16,460177.31,545259.46,170164.3,99722.69,-99722.69,99.0,high,
330 Huffman CR NW,Overlanders,500000.0,53.5811823,-113.3926107,364262.78,438362.99,512463.2,148200.41999999998,61637.01000000001,-61637.01000000001,99.0,high,
135 Humberstone RD NW,Overlanders,498888.0,53.5783818,-113.386633,375675.24,444586.08,513496.92,137821.68,54301.919999999984,-54301.919999999984,99.0,high,
1257 HOOKE RD NW,Canon Ridge,219900.0,53.5833646,-113.37882,127238.89,174778.7,222318.51,95079.62000000001,45121.29999999999,-45121.29999999999,96.5,high,
16122 131A ST NW,Oxford,379900.0,53.6231981,-113.5514835,336475.52,385085.95,433696.38,97220.85999999999,-5185.950000000012,5185.950000000012,99.0,high,
#113 16035 132 ST NW,Oxford,184900.0,53.6268031,-113.5513925,366445.59,482165.25,597884.91,231439.32,-297265.25,297265.25,99.0,high,
15404 132 ST NW,Oxford,599900.0,53.6160122,-113.5479878,420212.99,516142.72,612072.45,191859.45999999996,83757.28000000003,-83757.28000000003,99.0,high,
12824 157 AV NW,Oxford,549800.0,53.6195562,-113.5432121,361184.64,475242.95,589301.26,228116.62,74557.04999999999,-74557.04999999999,99.0,high,
#409 16035 132 ST NW,Oxford,249900.0,53.6268031,-113.5513925,366445.59,482165.25,597884.91,231439.32,-232265.25,232265.25,99.0,high,
13020 164 AV NW,Ozerna,629900.0,53.6259882,-113.449214,477550.01,628355.27,779160.53,301610.52,1544.7299999999814,-1544.7299999999814,99.0,high,
#406 16035 132 ST NW NW,Oxford,232900.0,53.6268031,-113.5513925,366445.59,482165.25,597884.91,231439.32,-249265.25,249265.25,99.0,high,
#13 16537 130A ST NW,Oxford,359900.0,53.627524,-113.548558,494267.67,609864.49,725461.31,231193.64000000007,-249964.49,249964.49,99.0,high,
16423 132 ST NW,Oxford,719900.0,53.6268031,-113.5513925,366445.59,482165.25,597884.91,231439.32,237734.75,-237734.75,99.0,high,
13217 155 AV NW NW,Oxford,339000.0,53.616518,-113.5498558,388699.49,472482.85,556266.21,167566.71999999997,-133482.84999999998,133482.84999999998,87.0,high,
#119 16035 132 ST NW,Oxford,219900.0,53.6268031,-113.5513925,366445.59,482165.25,597884.91,231439.32,-262265.25,262265.25,99.0,high,
#102 6710 158 AV NW,Oxford,149900.0,53.6203661,-113.5417513,406570.46,496864.92,587159.38,180588.91999999998,-346964.92,346964.92,99.0,high,
#14 6608 158 AV NW,Oxford,345000.0,53.6202499,-113.5416494,389596.19,480059.94,570523.69,180927.49999999994,-135059.94,135059.94,99.0,high,
16528 68 ST NW,Delwood,529900.0,53.593853,-113.4460949,301071.18,367144.32,433217.46,132146.28000000003,162755.68,-162755.68,99.0,high,
6704 164 AV NW,Ozerna,478888.0,53.6260809,-113.4441189,381023.8,445956.99,510890.18,129866.38,32931.01000000001,-32931.01000000001,99.0,high,
15335 70 ST NW,Ozerna,454900.0,53.6164456,-113.4487557,335877.74,441944.39,548011.04,212133.30000000005,12955.609999999986,-12955.609999999986,99.0,high,
6752 166 AV NW,Ozerna,415000.0,53.6282513,-113.4462041,378863.09,445198.74,511534.39,132671.3,-30198.73999999999,30198.73999999999,99.0,high,
6741 162A AV NW,Ozerna,469900.0,53.6239688,-113.4448506,401984.04,475065.55,548147.06,146163.02000000008,-5165.549999999988,5165.549999999988,99.0,high,
6734 162A AV NW,Ozerna,549000.0,53.6241514,-113.4448281,397220.65,474024.95,550829.25,153608.59999999998,74975.04999999999,-74975.04999999999,99.0,high,
6828 159A AV NW,Ozerna,409000.0,53.6218681,-113.4466707,310779.64,358638.92,406498.2,95718.56,50361.080000000016,-50361.080000000016,99.0,high,
7020 157 AV NW,Ozerna,549000.0,53.6190607,-113.4496817,417574.5,526147.68,634720.86,217146.36,22852.31999999995,-22852.31999999995,99.0,high,
15411 67A ST NW,Ozerna,479000.0,53.6167529,-113.4447783,426535.94,508741.19,590946.44,164410.49999999994,-29741.190000000002,29741.190000000002,99.0,high,
2611 PRICE CM SW,Paisley,535000.0,53.4158456,-113.556629,398657.5,506601.43,614545.36,215887.86,28398.570000000007,-28398.570000000007,99.0,high,
3721 PARKER CO SW,Paisley,649900.0,53.4157301,-113.5640128,487637.92,604127.95,720617.98,232980.06,45772.05000000005,-45772.05000000005,99.0,high,
270 PATERSON LI SW,Paisley,488517.0,53.4144006,-113.5551774,396020.54,514981.86,633943.18,237922.64000000007,-26464.859999999986,26464.859999999986,99.0,high,
2082 PRICE LANDING SW,Paisley,429900.0,53.4174231,-113.5561399,365939.47,440939.17,515938.87,149999.40000000002,-11039.169999999984,11039.169999999984,99.0,high,
2054 PRICE LANDING LD SW,Paisley,469900.0,53.4174587,-113.5575832,372378.06,444031.47,515684.88,143306.82,25868.530000000028,-25868.530000000028,99.0,high,
1404 PODERSKY LI SW,Paisley,539000.0,53.4116407,-113.5568016,446402.64,527719.4,609036.16,162633.52000000002,11280.599999999977,-11280.599999999977,99.0,high,
211 PATERSON LI SW,Paisley,734900.0,53.4149431,-113.5543163,165018.29,217129.33,269240.37,104222.07999999999,517770.67000000004,-517770.67000000004,99.0,high,
213 PATERSON LI SW,Paisley,945900.0,53.4150149,-113.5544063,586068.64,762619.35,939170.06,353101.42000000004,183280.65000000002,-183280.65000000002,99.0,high,
2026 PRICE LANDING LD SW,Paisley,439900.0,53.4167531,-113.5584021,367881.69,436167.91,504454.13,136572.44,3732.0900000000256,-3732.0900000000256,99.0,high,
2241 PRICE LN SW,Paisley,449000.0,53.4158986,-113.5553988,360501.37,467892.55,575283.73,214782.36,-18892.54999999999,18892.54999999999,99.0,high,
535 PATERSON WY SW,Paisley,434900.0,53.4141289,-113.5561614,525219.73,627668.14,730116.55,204896.82000000007,-192768.14,192768.14,99.0,high,
281 PATERSON LI SW,Paisley,775000.0,53.4141689,-113.5536402,334699.81,440394.49,546089.17,211389.36000000004,334605.51,-334605.51,99.0,high,
#12 6805 112 ST NW,Garneau,186900.0,53.5190485,-113.5207748,7537087.22,9917220.02,12297352.82,4760265.600000001,-9730320.02,9730320.02,87.0,high,
#301 11140 68 AV NW,Parkallen,270000.0,53.5052052,-113.5186109,231097.56,288915.9,346734.24,115636.68,-18915.900000000023,18915.900000000023,99.0,high,
11234 71 AV NW NW,Parkallen,499000.0,53.507753,-113.5218668,405651.65,533752.17,661852.69,256201.03999999992,-34752.17000000004,34752.17000000004,99.0,high,
10936 71 AV NW,Parkallen,1199900.0,53.5077399,-113.5137815,766354.7,1008361.45,1250368.2,484013.5,191538.55000000005,-191538.55000000005,99.0,high,
10946 62 AV NW,Parkallen,679000.0,53.4992737,-113.5164594,546151.26,718620.08,891088.9,344937.64,-39620.07999999996,39620.07999999996,99.0,high,
10911 66 AV NW,Parkallen,519900.0,53.5027559,-113.5126708,415230.6,546356.05,677481.5,262250.9,-26456.050000000047,26456.050000000047,99.0,high,
6720 112 ST NW NW,Parkallen,213000.0,53.504628,-113.5205491,237930.13,313065.96,388201.79,150271.65999999997,-100065.96000000002,100065.96000000002,99.0,high,
11729 86 ST NW,Parkdale,240000.0,53.5695427,-113.4731336,188617.4,248180.79,307744.18,119126.78,-8180.790000000008,8180.790000000008,99.0,high,
#427 11325 83 ST NW NW,Idylwylde,114900.0,53.5248708,-113.457046,2027453.08,2667701.42,3307949.76,1280496.6799999997,-2552801.42,2552801.42,87.0,high,
11429 89 ST NW,McIntyre Industrial,278067.0,53.4878574,-113.4641107,4789840.59,6579451.36,8369062.13,3579221.54,-6301384.36,6301384.36,79.0,medium,
11415 85 ST NW,Tweddle Place,435000.0,53.4814852,-113.4593368,349554.78,425492.56,501430.34,151875.56,9507.440000000002,-9507.440000000002,99.0,high,
11430 81 ST NW,Parkdale,425000.0,53.5653089,-113.4656462,232079.38,305367.61,378655.84,146576.46000000002,119632.39000000001,-119632.39000000001,99.0,high,
11243 86 ST NW,Strathearn,154900.0,53.5339358,-113.4587588,583155.08,767309.32,951463.56,368308.4800000001,-612409.32,612409.32,99.0,high,
#2 11616 82 ST NW NW,Parkdale,419900.0,53.5677563,-113.4675402,152720.7,200948.29,249175.88,96455.18,218951.71,-218951.71,99.0,high,
#1 11616 82 ST NW NW,Ritchie,419900.0,53.5178166,-113.4869214,611516.73,804627.28,997737.83,386221.1,-384727.28,384727.28,99.0,high,
#407 11211 85 ST NW,Parkdale,144900.0,53.5615152,-113.4714311,83082.41,107487.14,131891.87,48809.45999999999,37412.86,-37412.86,99.0,high,
11408 81 ST NW,Parkdale,299900.0,53.565056,-113.4656469,218977.76,288128.63,357279.5,138301.74,11771.369999999995,-11771.369999999995,99.0,high,
11532 88 ST NW,Parkdale,349900.0,53.5665995,-113.4768576,260428.73,342669.38,424910.03,164481.30000000002,7230.619999999995,-7230.619999999995,99.0,high,
9027 145 ST NW,Laurier Heights,589900.0,53.5163218,-113.5712415,551464.61,725611.33,899758.05,348293.44000000006,-135711.32999999996,135711.32999999996,99.0,high,
37 VALLEYVIEW CR NW,Parkview,1249900.0,53.5213062,-113.56029,790335.87,1039915.62,1289495.37,499159.5000000001,209984.38,-209984.38,99.0,high,
14312 92A AV NW,Parkview,3295000.0,53.5282205,-113.5680426,2147805.08,2826059.32,3504313.56,1356508.48,468940.68000000017,-468940.68000000017,99.0,high,
9124 141 ST NW,Parkview,1224900.0,53.5265135,-113.5642463,909808.52,1197116.47,1484424.42,574615.8999999999,27783.530000000028,-27783.530000000028,99.0,high,
