neighbourhood,price,address,beds,baths,sqft,listing_url,raw_text
Magrath Heights,"$489,900",,,,1094,https://www.realtor.ca/real-estate/29553163/402-7459-may-common-nw-edmonton-magrath-heights,"CAD Sign In My Account My Settings My Hidden Listings Email Notification Settings Sign Out EN FR Find a Home Find a REALTOR® Location Name Office Resources and Tools Mortgage Options Payment Calculator Refinance Calculator Land Transfer Tax Calculator Affordability Calculator Living Room Blog Home Real Estate 101 Market Trends Buying or Selling REAL Stories Neighbourhood Guides Home Improvements and Design Map List Magrath Heights, Edmonton, AB Transaction Type For sale Min Price Min Price Max Price Max Price Beds Beds Baths Baths Filters Save Search Results: 15 Listings Sort By Newest Oldest Lowest price Highest price Newest $489,900 #402 7459 May Common NW, Edmonton, Alberta 2 2 1094 sqft 3 days ago $469,000 #301 7459 May CM NW, Edmonton, Alberta 2 2 1035 sqft 5 days ago $409,900 #322 7459 MAY COMMON NW NW, Edmonton, Alberta 2 2 975 sqft $850,000 #25 7121 MAY CR NW, Edmonton, Alberta 3 4 2576 sqft $1,249,000 4005 MACNEIL PL NW NW, Edmonton, Alberta 6 4 3116 sqft $725,000 1660 MALONE WY NW, Edmonton, Alberta 1 3 2262 sqft $355,000 #302 160 MAGRATH RD NW, Edmonton, Alberta 2 2 1188 sqft $1,760,000 7549 MAY CM NW, Edmonton, Alberta 4 4 3509 sqft $214,900 #117 160 MAGRATH RD NW, Edmonton, Alberta 1 1 825 sqft $585,000 1239 MCKINNEY CT NW, Edmonton, Alberta 3 3 1940 sqft $349,888 #105 160 Magrath RD NW, Edmonton, Alberta 2 2 1262 sqft $1,398,800 2426 MARTELL CR NW, Edmonton, Alberta 4 5 3402 sqft 1 2 1 of 2 1 1 1 4 1 1 1 2 3 Map Satellite Schools Schools TYPE Public Private LEVEL Elementary Secondary LANGUAGE English French Other Lifestyle Lifestyle Pedestrian friendly Transit friendly Car friendly Groceries Elementary schools High schools Daycares Restaurants Coffee Shops Nightlife Shopping Quiet Vibrancy Keyboard shortcuts Map data ©2026 Google Terms Report a map error Draw Search within boundary Show more listings Remove Boundary Draw your boundary Find a REALTOR® Create an Account Commercial Resources Tips for Buyers Tips for Sellers Canada Real Estate Living Room Blog About REALTOR.ca REALTOR.ca DDF® About CREA REALTOR® Code of Ethics REALTORS Care® Send Feedback Contact Us Privacy Policy Terms of Use Accessibility Careers Download the REALTOR.ca app Stay Connected Trusted listings from REALTOR® Agents. The MLS® mark and associated logos identify professional services rendered by REALTOR® members of CREA to effect the purchase, sale and lease of real estate as part of a cooperative selling system. ©2026 REALTOR.ca Canada Inc. All rights reserved. The trademarks REALTOR®, REALTORS® and the REALTOR® logo are controlled by CREA and identify real estate professionals who are members of CREA."
Magrath Heights,"$489,900",,,,1094,,"$489,900 #402 7459 May Common NW, Edmonton, Alberta 2 2 1094 sqft"
Magrath Heights,"$469,000",,,,1035,https://www.realtor.ca/real-estate/29537564/301-7459-may-cm-nw-edmonton-magrath-heights,"$469,000 #301 7459 May CM NW, Edmonton, Alberta 2 2 1035 sqft 5 days ago"
Magrath Heights,"$409,900",,,,975,https://www.realtor.ca/real-estate/29507508/322-7459-may-common-nw-nw-edmonton-magrath-heights,"$409,900 #322 7459 MAY COMMON NW NW, Edmonton, Alberta 2 2 975 sqft"
Magrath Heights,"$850,000",,,,2576,https://www.realtor.ca/real-estate/29471783/25-7121-may-cr-nw-edmonton-magrath-heights,"$850,000 #25 7121 MAY CR NW, Edmonton, Alberta 3 4 2576 sqft"
Magrath Heights,"$1,249,000",,,,3116,https://www.realtor.ca/real-estate/29467766/4005-macneil-pl-nw-nw-edmonton-magrath-heights,"$1,249,000 4005 MACNEIL PL NW NW, Edmonton, Alberta 6 4 3116 sqft"
Magrath Heights,"$725,000",,,,2262,https://www.realtor.ca/real-estate/29458267/1660-malone-wy-nw-edmonton-magrath-heights,"$725,000 1660 MALONE WY NW, Edmonton, Alberta 1 3 2262 sqft"
Magrath Heights,"$355,000",,,,1188,https://www.realtor.ca/real-estate/29442019/302-160-magrath-rd-nw-edmonton-magrath-heights,"$355,000 #302 160 MAGRATH RD NW, Edmonton, Alberta 2 2 1188 sqft"
Magrath Heights,"$1,760,000",,,,3509,https://www.realtor.ca/real-estate/29438148/7549-may-cm-nw-edmonton-magrath-heights,"$1,760,000 7549 MAY CM NW, Edmonton, Alberta 4 4 3509 sqft"
Magrath Heights,"$214,900",,,,825,https://www.realtor.ca/real-estate/29408769/117-160-magrath-rd-nw-edmonton-magrath-heights,"$214,900 #117 160 MAGRATH RD NW, Edmonton, Alberta 1 1 825 sqft"
