address,beds,baths,square_footage,price,link,neighborhood,lat,long
#20 2004 TRUMPETER WY NW,3,3,1220,"$322,000",https://www.realtor.ca/real-estate/29541099/20-2004-trumpeter-wy-nw-edmonton-trumpeter-area,Trumpeter,53.5880606,-113.6710518
4354 KINGLET DR NW,3,3,1190,"$409,998",https://www.realtor.ca/real-estate/29540685/4354-kinglet-dr-nw-edmonton-kinglet-gardens,Pintail Landing,53.5807629,-113.7082384
4205 Kinglet DR NW,4,3,1433,"$414,998",https://www.realtor.ca/real-estate/29529210/4205-kinglet-dr-nw-edmonton-kinglet-gardens,Pintail Landing,53.5793203,-113.7009854
1265 Peregrine Terrace NW,3,3,2434,"$932,500",https://www.realtor.ca/real-estate/29526810/1265-peregrine-terrace-nw-edmonton-hawks-ridge,Hawks Ridge,53.5901324,-113.6976726
3138 Magpie Wy NW,4,3,1380,"$635,000",https://www.realtor.ca/real-estate/29525932/3138-magpie-wy-nw-edmonton-starling,Starling,53.5916188,-113.6626565
9612 189 ST NW,4,3,1423,"$470,000",https://www.realtor.ca/real-estate/29557358/9612-189-st-nw-edmonton-la-perle,La Perle,53.5317577,-113.6489563
#101 9760 174 ST NW,2,2,958,"$200,000",https://www.realtor.ca/real-estate/29556311/101-9760-174-st-nw-edmonton-terra-losa,Terra Losa,53.5337493,-113.6222201
#302 17467 98A AV NW,1,1,657,"$139,900",https://www.realtor.ca/real-estate/29552906/302-17467-98a-av-nw-edmonton-terra-losa,Terra Losa,53.5337339,-113.6239735
#3 9703 174 ST NW,2,3,1399,"$339,000",https://www.realtor.ca/real-estate/29552555/3-9703-174-st-nw-edmonton-terra-losa,Terra Losa,53.5331850,-113.6208143
#2 9703 174 ST NW,2,3,1405,"$339,900",https://www.realtor.ca/real-estate/29551077/2-9703-174-st-nw-edmonton-terra-losa,Ritchie,53.5149294,-113.4800495
9733 184 ST NW,5,3,1450,"$559,900",https://www.realtor.ca/real-estate/29544622/9733-184-st-nw-edmonton-la-perle,La Perle,53.5340224,-113.6398346
#329 17447 98A AV NW,3,2,1216,"$239,900",https://www.realtor.ca/real-estate/29541975/329-17447-98a-av-nw-edmonton-terra-losa,Terra Losa,53.5336793,-113.6230081
#101 17467 98A AV NW,3,2,1019,"$172,500",https://www.realtor.ca/real-estate/29541307/101-17467-98a-av-nw-edmonton-terra-losa,Terra Losa,53.5337339,-113.6239735
#107 9760 176 st NW,2,2,893,"$229,900",https://www.realtor.ca/real-estate/29528624/107-9760-176-st-nw-edmonton-terra-losa,Terra Losa,53.5316194,-113.6271598
#320 9620 174 ST NW,2,2,793,"$169,900",https://www.realtor.ca/real-estate/29524713/320-9620-174-st-nw-edmonton-terra-losa,Thorncliff,53.5190132,-113.6226758
#53 9718 176 ST NW,3,3,1222,"$395,000",https://www.realtor.ca/real-estate/29521955/53-9718-176-st-nw-edmonton-terra-losa,Terra Losa,53.5316194,-113.6271598
9806 180 Street NW,4,2,926,"$359,999",https://www.realtor.ca/real-estate/29500071/9806-180-street-nw-edmonton-la-perle,La Perle,53.5339131,-113.6312661
10520 52 AV NW,2,1,1091,"$419,999",https://www.realtor.ca/real-estate/29556908/10520-52-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4890036,-113.5014166
5328 105B ST NW,4,2,1070,"$465,000",https://www.realtor.ca/real-estate/29552910/5328-105b-st-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4907816,-113.5027143
10716 52 AV NW,4,2,1087,"$528,800",https://www.realtor.ca/real-estate/29550575/10716-52-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4895302,-113.5086252
10512 55 AV NW,5,2,1049,"$499,900",https://www.realtor.ca/real-estate/29541377/10512-55-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4923423,-113.5009686
#408 10530 56 AV NW,2,2,980,"$299,999",https://www.realtor.ca/real-estate/29519435/408-10530-56-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4939016,-113.5022786
5512 109A ST NW,3,4,2782,"$1,525,000",https://www.realtor.ca/real-estate/29509147/5512-109a-st-nw-edmonton-pleasantview-edmonton,Parkallen,53.4992525,-113.5140147
10663 61 AV NW,5,4,1610,"$789,000",https://www.realtor.ca/real-estate/29501094/10663-61-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4979598,-113.5053579
10908 57 AV NW NW,4,4,2923,"$1,399,000",https://www.realtor.ca/real-estate/29464960/10908-57-av-nw-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4941812,-113.5128922
10531 52 AV NW,3,1,921,"$425,000",https://www.realtor.ca/real-estate/29437113/10531-52-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4887239,-113.5022594
10945 54 AV NW,2,1,796,"$509,000",https://www.realtor.ca/real-estate/29433873/10945-54-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4914537,-113.5139932
#214 10530 56 AV NW,2,2,934,"$275,000",https://www.realtor.ca/real-estate/29414504/214-10530-56-av-nw-edmonton-pleasantview-edmonton,Pleasantview,53.4939016,-113.5022786
#307 1620 48 ST NW,1,1,652,"$109,000",https://www.realtor.ca/real-estate/29520312/307-1620-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
2006 MILL WOODS RD E NW,3,3,1142,"$225,000",https://www.realtor.ca/real-estate/29519328/2006-mill-woods-rd-e-nw-edmonton-pollard-meadows,Pollard Meadows,53.4548393,-113.4092973
2010 46 ST NW,5,2,1037,"$485,000",https://www.realtor.ca/real-estate/29508853/2010-46-st-nw-edmonton-pollard-meadows,Capilano,53.5557237,-113.4137664
4927 19 AV NW,3,4,1705,"$279,000",https://www.realtor.ca/real-estate/29463750/4927-19-av-nw-edmonton-pollard-meadows,Pollard Meadows,53.4499594,-113.4183939
#103 1624 48 ST NW,1,1,632,"$114,800",https://www.realtor.ca/real-estate/29463456/103-1624-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
#208 1620 48 ST NW,2,1,1039,"$119,900",https://www.realtor.ca/real-estate/29421309/208-1620-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
#311 1624 48 ST NW,1,1,620,"$109,900",https://www.realtor.ca/real-estate/29361815/311-1624-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
#402 1624 48 ST NW,2,1,938,"$130,000",https://www.realtor.ca/real-estate/29357682/402-1624-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
#203 1628 48 ST NW,2,1,956,"$123,900",https://www.realtor.ca/real-estate/29334278/203-1628-48-st-nw-edmonton-pollard-meadows,Capilano,53.5535476,-113.4164817
215 PETER CL NW NW,5,3,1377,"$559,900",https://www.realtor.ca/real-estate/29528147/215-peter-cl-nw-nw-edmonton-potter-greens,Potter Greens,53.5146217,-113.6708207
535 PARDEE BAY BA NW,4,4,1490,"$639,900",https://www.realtor.ca/real-estate/29440141/535-pardee-bay-ba-nw-edmonton-potter-greens,Potter Greens,53.5171545,-113.6647766
12033 124 ST NW,3,4,1880,"$669,900",https://www.realtor.ca/real-estate/29553841/12033-124-st-nw-edmonton-prince-charles,Lansdowne,53.4861390,-113.5458392
12513 120 AV NW,4,4,1726,"$494,500",https://www.realtor.ca/real-estate/29535162/12513-120-av-nw-edmonton-prince-charles,Prince Charles,53.5733593,-113.5391727
12504 119 Avenue NW,,,,"$1,499,900",https://www.realtor.ca/real-estate/29523068/12504-119-avenue-nw-edmonton-prince-charles,Prince Charles,53.5721165,-113.5380295
12504 119 AV NW,2,3,4208,"$1,499,900",https://www.realtor.ca/real-estate/29520600/12504-119-av-nw-edmonton-prince-charles,Prince Charles,53.5721165,-113.5380295
12503 122 AV NW,3,1,797,"$450,000",https://www.realtor.ca/real-estate/29519595/12503-122-av-nw-edmonton-prince-charles,Prince Charles,53.5765217,-113.5381940
#103 12110 119 Ave NW,2,2,797,"$139,999",https://www.realtor.ca/real-estate/29500860/103-12110-119-ave-nw-edmonton-prince-charles,Prince Charles,53.5722659,-113.5314416
12207 127 ST NW,,,,"$265,000",https://www.realtor.ca/real-estate/29435341/12207-127-st-nw-edmonton-prince-charles,Sherbrooke,53.5770074,-113.5408157
11840B 122 ST NW,1,1,774,"$169,999",https://www.realtor.ca/real-estate/29428623/11840b-122-st-nw-edmonton-prince-charles,Prince Charles,53.5716248,-113.5329495
11828 124 ST NW,5,2,1041,"$385,000",https://www.realtor.ca/real-estate/29384984/11828-124-st-nw-edmonton-prince-charles,Prince Charles,53.5711842,-113.5363595
12124 122 ST NW,5,3,971,"$428,000",https://www.realtor.ca/real-estate/29327003/12124-122-st-nw-edmonton-prince-charles,Prince Charles,53.5758143,-113.5328598
12031 124 ST NW,3,4,1900,"$669,900",https://www.realtor.ca/real-estate/29248703/12031-124-st-nw-edmonton-prince-charles,Lansdowne,53.4861390,-113.5458392
11927 123 ST NW,6,4,1760,"$599,900",https://www.realtor.ca/real-estate/29215507/11927-123-st-nw-edmonton-prince-charles,Grandview Heights,53.5020559,-113.5421765
11327 122 St NW,4,3,4564,"$2,290,000",https://www.realtor.ca/real-estate/29553282/11327-122-st-nw-edmonton-inglewood-edmonton,Inglewood,53.5632482,-113.5321239
#109 11429 124 ST NW,1,1,699,"$127,900",https://www.realtor.ca/real-estate/29550266/109-11429-124-st-nw-edmonton-inglewood-edmonton,Westmount,53.5542406,-113.5357971
11124 110a Avenue,1,4,1811,"$569,000",https://www.realtor.ca/real-estate/29542899/11124-110a-avenue-edmonton-queen-mary-park,Queen Mary Park,53.5579326,-113.5141588
11124 110A AV NW,3,4,1811,"$569,000",https://www.realtor.ca/real-estate/29540027/11124-110a-av-nw-edmonton-queen-mary-park,Queen Mary Park,53.5579326,-113.5141588
11745 122 Street,,,,"$999,000",https://www.realtor.ca/real-estate/29535186/11745-122-street-edmonton,Aspen Gardens,53.4794055,-113.5480659
7513 OBSERVER LN NW,1,2,902,"$469,998",https://www.realtor.ca/real-estate/29529186/7513-observer-ln-nw-edmonton-blatchford-area,Blatchford,53.5703478,-113.5169640
7819 YORKE RD NW,3,4,1927,"$628,800",https://www.realtor.ca/real-estate/29524507/7819-yorke-rd-nw-edmonton-blatchford-area,Blatchford,53.5686608,-113.5202347
10204 113 Avenue NW,,,,"$1,799,900",https://www.realtor.ca/real-estate/29523092/10204-113-avenue-nw-edmonton-spruce-avenue,Spruce Avenue,53.5628856,-113.4959001
11715 123 ST NW,3,2,1150,"$409,900",https://www.realtor.ca/real-estate/29521205/11715-123-st-nw-edmonton-inglewood-edmonton,Inglewood,53.5690224,-113.5338211
10204 113 AV NW,3,4,4137,"$1,799,900",https://www.realtor.ca/real-estate/29517325/10204-113-av-nw-edmonton-spruce-avenue,Spruce Avenue,53.5628856,-113.4959001
#101 11019 107 ST NW,1,1,696,"$89,900",https://www.realtor.ca/real-estate/29498534/101-11019-107-st-nw-edmonton-central-mcdougall,Lauderdale,53.5884628,-113.5041425
12421 115 AV NW,3,3,1460,"$424,888",https://www.realtor.ca/real-estate/29487078/12421-115-av-nw-edmonton-inglewood-edmonton,Inglewood,53.5650888,-113.5371664
16527 3 ST NE,5,3,2335,"$725,000",https://www.realtor.ca/real-estate/29550416/16527-3-st-ne-edmonton-quarry-ridge,Quarry Ridge,53.6234064,-113.3361398
15651 2 ST NE,3,3,1542,"$449,900",https://www.realtor.ca/real-estate/29496450/15651-2-st-ne-edmonton-quarry-ridge,Quarry Ridge,53.6246737,-113.3385568
727 166 AV NE,3,3,2153,"$614,773",https://www.realtor.ca/real-estate/29339746/727-166-av-ne-edmonton-horse-hill-neighbourhood-1a,Quarry Ridge,53.6276727,-113.3296517
15647 2 ST NE,3,3,1595,"$449,900",https://www.realtor.ca/real-estate/29191929/15647-2-st-ne-edmonton-quarry-ridge,Quarry Ridge,53.6246737,-113.3385568
15643 2 ST NE,3,3,1602,"$449,900",https://www.realtor.ca/real-estate/29184083/15643-2-st-ne-edmonton-quarry-ridge,Quarry Ridge,53.6246737,-113.3385568
235 157 AV NE,3,3,1660,"$459,900",https://www.realtor.ca/real-estate/29183828/235-157-av-ne-edmonton-quarry-ridge,Quarry Ridge,53.6174681,-113.3432185
247 166 AV NE,5,4,2441,"$710,000",https://www.realtor.ca/real-estate/29170498/247-166-av-ne-edmonton-quarry-ridge,Quarry Ridge,53.6281393,-113.3367966
16511 8 ST NE,4,5,3327,"$1,300,000",https://www.realtor.ca/real-estate/29094991/16511-8-st-ne-edmonton-quarry-ridge,Quarry Ridge,53.6278851,-113.3327604
319 157 AV NE,3,3,1898,"$549,900",https://www.realtor.ca/real-estate/29046401/319-157-av-ne-edmonton-quarry-ridge,Quarry Ridge,53.6174675,-113.3418253
16608 9 ST NE,7,7,3675,"$1,285,000",https://www.realtor.ca/real-estate/28775856/16608-9-st-ne-edmonton-horse-hill-neighbourhood-1a,Rural North East South Sturgeon,53.6133253,-113.3319341
#211 10808 71 AV NW,2,2,949,"$289,900",https://www.realtor.ca/real-estate/29556267/211-10808-71-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5078023,-113.5099133
#406 10811 72 AV NW,2,2,948,"$339,900",https://www.realtor.ca/real-estate/29552541/406-10811-72-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5084082,-113.5097531
#303 10432 76 AV NW,1,1,625,"$175,000",https://www.realtor.ca/real-estate/29539759/303-10432-76-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5123789,-113.5001157
10817 75 AV NW,3,4,2232,"$869,900",https://www.realtor.ca/real-estate/29525942/10817-75-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5111960,-113.5101243
#1 & 2 7419 106 ST NW,8,8,2722,"$1,150,000",https://www.realtor.ca/real-estate/29499683/1-2-7419-106-st-nw-edmonton-queen-alexandra,Queen Alexandra,53.5109238,-113.5039132
7024 105A ST NW,3,1,1188,"$574,000",https://www.realtor.ca/real-estate/29499307/7024-105a-st-nw-edmonton-queen-alexandra,Steinhauer,53.4663459,-113.5031790
10708 75 AV NW,,,,"$425,000",https://www.realtor.ca/real-estate/29496290/10708-75-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5113723,-113.5067518
10434 77 Ave NW,,,,"$1,920,000",https://www.realtor.ca/real-estate/29478200/10434-77-ave-nw-edmonton,Queen Alexandra,53.5133369,-113.5001508
10620 79 Avenue,,,,"$3,680,000",https://www.realtor.ca/real-estate/29478199/10620-79-avenue-edmonton,Rosenthal,53.5122083,-113.7148557
10623 75 AV NW,8,4,2206,"$899,900",https://www.realtor.ca/real-estate/29438490/10623-75-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5111863,-113.5055170
7306 106 ST NW,8,8,2557,"$925,000",https://www.realtor.ca/real-estate/29438261/7306-106-st-nw-edmonton-queen-alexandra,Downtown,53.5459531,-113.5028918
10806 72 AV NW,6,5,2178,"$947,000",https://www.realtor.ca/real-estate/29430413/10806-72-av-nw-edmonton-queen-alexandra,Queen Alexandra,53.5085290,-113.5096180
#415 10531 117 ST NW,1,1,837,"$189,900",https://www.realtor.ca/real-estate/29556980/415-10531-117-st-nw-edmonton-queen-mary-park,Prince Rupert,53.5658427,-113.5216934
#330 10531 117 ST NW,2,2,1098,"$249,900",https://www.realtor.ca/real-estate/29556382/330-10531-117-st-nw-edmonton-queen-mary-park,Prince Rupert,53.5658427,-113.5216934
#106 10531 117 ST NW,2,2,1290,"$330,000",https://www.realtor.ca/real-estate/29554701/106-10531-117-st-nw-edmonton-queen-mary-park,Prince Rupert,53.5658427,-113.5216934
#315 10508 119 ST NW,1,1,791,"$200,000",https://www.realtor.ca/real-estate/29550118/315-10508-119-st-nw-edmonton-queen-mary-park,Queen Mary Park,53.5484754,-113.5272350
11305 108 AV NW,,,,"$449,000",https://www.realtor.ca/real-estate/29549659/11305-108-av-nw-edmonton-queen-mary-park,Mayfield,53.5527471,-113.5912353
#18 10812 115 ST NW,1,1,667,"$89,900",https://www.realtor.ca/real-estate/29549653/18-10812-115-st-nw-edmonton-queen-mary-park,Queen Mary Park,53.5535734,-113.5199953
#114 10531 117 ST NW,2,2,1021,"$225,000",https://www.realtor.ca/real-estate/29547375/114-10531-117-st-nw-edmonton-queen-mary-park,Prince Rupert,53.5658427,-113.5216934
#239 10636 120 ST NW,2,2,1035,"$184,900",https://www.realtor.ca/real-estate/29531290/239-10636-120-st-nw-edmonton-queen-mary-park,Queen Mary Park,53.5507459,-113.5290065
#412 10518 113 ST NW,2,2,970,"$259,900",https://www.realtor.ca/real-estate/29529453/412-10518-113-st-nw-edmonton-queen-mary-park,Queen Mary Park,53.5486676,-113.5163790
#128 10531 117 ST NW,2,1,847,"$145,000",https://www.realtor.ca/real-estate/29526408/128-10531-117-st-nw-edmonton-queen-mary-park,Prince Rupert,53.5658427,-113.5216934
104 QUESNELL CR NW,6,4,2902,"$1,149,500",https://www.realtor.ca/real-estate/29287720/104-quesnell-cr-nw-edmonton-quesnell-heights,Quesnell Heights,53.5094632,-113.5698866
#33 4403 Riverbend RD NW,3,2,1162,"$299,900",https://www.realtor.ca/real-estate/29533348/33-4403-riverbend-rd-nw-edmonton-ramsay-heights,Haddow,53.4579428,-113.5906123
#9 4403 RIVERBEND RD NW,3,2,1129,"$270,000",https://www.realtor.ca/real-estate/29531649/9-4403-riverbend-rd-nw-edmonton-ramsay-heights,Haddow,53.4579428,-113.5906123
4720 147A ST NW,4,4,2659,"$768,000",https://www.realtor.ca/real-estate/29529532/4720-147a-st-nw-edmonton-ramsay-heights,Ramsay Heights,53.4857671,-113.5740495
#309 14811 51 AV NW,2,2,982,"$194,000",https://www.realtor.ca/real-estate/29519587/309-14811-51-av-nw-edmonton-ramsay-heights,Ramsay Heights,53.4887290,-113.5766561
#208 14803 51 AV NW,2,2,1004,"$160,000",https://www.realtor.ca/real-estate/29503634/208-14803-51-av-nw-edmonton-ramsay-heights,Ramsay Heights,53.4887722,-113.5764254
4207 147 ST NW,4,3,1862,"$614,999",https://www.realtor.ca/real-estate/29495658/4207-147-st-nw-edmonton-ramsay-heights,Ramsay Heights,53.4791316,-113.5746720
14934 43 AV NW,3,3,1650,"$338,000",https://www.realtor.ca/real-estate/29464486/14934-43-av-nw-edmonton-ramsay-heights,Kiniski Gardens,53.4804686,-113.3967137
#2 4403 RIVERBEND RD NW,5,3,1159,"$259,900",https://www.realtor.ca/real-estate/29444097/2-4403-riverbend-rd-nw-edmonton-ramsay-heights,Haddow,53.4579428,-113.5906123
14916 43 AV NW,2,3,1340,"$300,000",https://www.realtor.ca/real-estate/29409062/14916-43-av-nw-edmonton-ramsay-heights,Royal Gardens,53.4796647,-113.5287616
4804 154 ST NW,4,4,3164,"$2,495,000",https://www.realtor.ca/real-estate/28590657/4804-154-st-nw-edmonton-ramsay-heights,Ramsay Heights,53.4866498,-113.5842806
12216 176 AV NW NW,3,3,1501,"$409,000",https://www.realtor.ca/real-estate/29532045/12216-176-av-nw-nw-edmonton-rapperswill,Elsinore,53.6384122,-113.4923489
16811 120 ST NW,3,3,1472,"$429,900",https://www.realtor.ca/real-estate/29522192/16811-120-st-nw-edmonton-rapperswill,Malmo Plains,53.4863724,-113.5379916
12152 172 AV NW,3,3,2379,"$618,000",https://www.realtor.ca/real-estate/29515125/12152-172-av-nw-edmonton-rapperswill,Baturyn,53.6340034,-113.4976234
12232 167B AV NW,5,4,2120,"$599,900",https://www.realtor.ca/real-estate/29505489/12232-167b-av-nw-edmonton-rapperswill,Canossa,53.6301641,-113.5289548
12026 167B AV NW,3,4,1335,"$409,900",https://www.realtor.ca/real-estate/29418863/12026-167b-av-nw-edmonton-rapperswill,Canossa,53.6301641,-113.5289548
12219 167A AV NW,3,3,1268,"$388,000",https://www.realtor.ca/real-estate/29337106/12219-167a-av-nw-edmonton-rapperswill,Canossa,53.6293123,-113.5249324
705 RIDDELL ST NW,5,3,1676,"$728,800",https://www.realtor.ca/real-estate/29558076/705-riddell-st-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4788370,-113.5902169
158 RHATIGAN RD E NW,5,4,2002,"$645,000",https://www.realtor.ca/real-estate/29555190/158-rhatigan-rd-e-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4763621,-113.5776092
954 RICE RD NW,5,4,2633,"$939,000",https://www.realtor.ca/real-estate/29555032/954-rice-rd-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4786941,-113.5883380
471 RONNING ST NW,4,3,1830,"$899,000",https://www.realtor.ca/real-estate/29506158/471-ronning-st-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4743196,-113.5924039
873 RYAN PL NW,4,4,1912,"$648,000",https://www.realtor.ca/real-estate/29496442/873-ryan-pl-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4703368,-113.5818336
175 ROY ST NW,5,3,2453,"$854,000",https://www.realtor.ca/real-estate/29453870/175-roy-st-nw-edmonton-rhatigan-ridge,Rhatigan Ridge,53.4744411,-113.5957792
8507 35 AV NW,5,3,1175,"$439,900",https://www.realtor.ca/real-estate/29555864/8507-35-av-nw-edmonton-richfield,Richfield,53.4677926,-113.4608523
3518 78 ST NW,5,2,1154,"$349,900",https://www.realtor.ca/real-estate/29551614/3518-78-st-nw-edmonton-richfield,Richfield,53.4676336,-113.4526842
363 RICHFIELD RD NW,4,3,1195,"$439,900",https://www.realtor.ca/real-estate/29527463/363-richfield-rd-nw-edmonton-richfield,Richfield,53.4669795,-113.4590911
3432 81 ST NW,4,2,1032,"$400,000",https://www.realtor.ca/real-estate/29497335/3432-81-st-nw-edmonton-richfield,Richfield,53.4665852,-113.4554044
3859 85 ST NW,3,2,1133,"$339,900",https://www.realtor.ca/real-estate/29442092/3859-85-st-nw-edmonton-richfield,Richfield,53.4729304,-113.4578270
254 RICHFIELD RD NW,2,1,396,"$114,900",https://www.realtor.ca/real-estate/29438147/254-richfield-rd-nw-edmonton-richfield,Richfield,53.4678072,-113.4574808
3508 84 ST NW,5,3,1302,"$539,900",https://www.realtor.ca/real-estate/29418565/3508-84-st-nw-edmonton-richfield,Richfield,53.4677963,-113.4597789
727 107A ST SW,4,4,2690,"$899,900",https://www.realtor.ca/real-estate/29465109/727-107a-st-sw-edmonton-richford,Richford,53.4255849,-113.5050266
#129 11074 ELLERSLIE RD SW,1,2,1015,"$279,000",https://www.realtor.ca/real-estate/29435814/129-11074-ellerslie-rd-sw-edmonton-richford,Anthony Henday South,53.4248984,-113.5499230
#26 10550 ELLERSLIE RD SW,5,5,2799,"$979,800",https://www.realtor.ca/real-estate/29434947/26-10550-ellerslie-rd-sw-edmonton-richford,Anthony Henday South,53.4248984,-113.5499230
#211 11080 ELLERSLIE RD SW,2,2,991,"$369,900",https://www.realtor.ca/real-estate/29315237/211-11080-ellerslie-rd-sw-edmonton-richford,Anthony Henday South,53.4248984,-113.5499230
#59 10550 ELLERSLIE RD SW,5,5,2873,"$1,099,000",https://www.realtor.ca/real-estate/29280398/59-10550-ellerslie-rd-sw-edmonton-richford,Anthony Henday South,53.4248984,-113.5499230
10812 5 AV SW,7,6,5274,"$1,775,000",https://www.realtor.ca/real-estate/29255521/10812-5-av-sw-edmonton-richford,Ellerslie Crossing,53.4287913,-113.4705858
4104 109 ST NW,4,3,1396,"$490,000",https://www.realtor.ca/real-estate/29481509/4104-109-st-nw-edmonton-rideau-park-edmonton,Rideau Park,53.4779554,-113.5125968
#102 10511 42 AV NW,2,2,1125,"$184,900",https://www.realtor.ca/real-estate/29439939/102-10511-42-av-nw-edmonton-rideau-park-edmonton,Strathcona Industrial Park,53.4797026,-113.4843669
#110 10511 42 AV NW,1,1,710,"$148,800",https://www.realtor.ca/real-estate/29437478/110-10511-42-av-nw-edmonton-rideau-park-edmonton,Rideau Park,53.4783157,-113.5025190
#208 10421 42 AV NW,2,2,1215,"$229,000",https://www.realtor.ca/real-estate/29385075/208-10421-42-av-nw-edmonton-rideau-park-edmonton,Rideau Park,53.4777733,-113.5000530
#301 10511 42 AV NW,3,2,1265,"$184,900",https://www.realtor.ca/real-estate/29371049/301-10511-42-av-nw-edmonton-rideau-park-edmonton,Rideau Park,53.4783157,-113.5025190
#226 10511 42 AV NW,3,2,1276,"$250,000",https://www.realtor.ca/real-estate/29230130/226-10511-42-av-nw-edmonton-rideau-park-edmonton,Rideau Park,53.4783157,-113.5025190
15404 RIO TERRACE DR NW,4,3,2379,"$1,149,900",https://www.realtor.ca/real-estate/29545472/15404-rio-terrace-dr-nw-edmonton-rio-terrace,Rio Terrace Neighbourhood,53.5054179,-113.5862758
7622 153 ST NW,4,2,1058,"$699,000",https://www.realtor.ca/real-estate/29380671/7622-153-st-nw-edmonton-rio-terrace,Rio Terrace Neighbourhood,53.5100101,-113.5847077
15504 RIO TERRACE DR NW,4,4,1992,"$1,299,000",https://www.realtor.ca/real-estate/29362606/15504-rio-terrace-dr-nw-edmonton-rio-terrace,Rio Terrace Neighbourhood,53.5046152,-113.5887466
7305B 155 ST NW,3,5,2689,"$1,479,900",https://www.realtor.ca/real-estate/29247239/7305b-155-st-nw-edmonton-rio-terrace,Rio Terrace Neighbourhood,53.5074680,-113.5890706
15414 RIO TERRACE DR NW,,,,"$649,900",https://www.realtor.ca/real-estate/29129347/15414-rio-terrace-dr-nw-edmonton-rio-terrace,Rio Terrace Neighbourhood,53.5049507,-113.5877202
#4 9835 82 AV NW,2,1,846,"$224,900",https://www.realtor.ca/real-estate/29550408/4-9835-82-av-nw-edmonton-ritchie,Ritchie,53.5178109,-113.4843599
9828 78 AV NW,,,,"$506,400",https://www.realtor.ca/real-estate/29516274/9828-78-av-nw-edmonton-ritchie,Ritchie,53.5143736,-113.4842904
#501 7905 96 ST NW,2,2,1439,"$559,900",https://www.realtor.ca/real-estate/29512524/501-7905-96-st-nw-edmonton-ritchie,Ritchie,53.5153193,-113.4761218
#409 7839 96 ST NW,2,2,1116,"$335,000",https://www.realtor.ca/real-estate/29499964/409-7839-96-st-nw-edmonton-ritchie,Ritchie,53.5148225,-113.4761038
#145 10121 80 AV NW,1,1,663,"$202,600",https://www.realtor.ca/real-estate/29498021/145-10121-80-av-nw-edmonton-ritchie,Ritchie,53.5157075,-113.4929152
9738 75 AV NW,4,4,2059,"$1,050,000",https://www.realtor.ca/real-estate/29493755/9738-75-av-nw-edmonton-ritchie,Ritchie,53.5115963,-113.4817396
9140 74 AV NW,4,3,2500,"$1,499,900",https://www.realtor.ca/real-estate/29493300/9140-74-av-nw-edmonton-ritchie,Ritchie,53.5103902,-113.4696896
#303 7839 96 ST NW,2,2,1152,"$344,900",https://www.realtor.ca/real-estate/29470762/303-7839-96-st-nw-edmonton-ritchie,Ritchie,53.5148225,-113.4761038
#432 10121 80 AV North West NW,1,1,681,"$215,000",https://www.realtor.ca/real-estate/29470346/432-10121-80-av-north-west-nw-edmonton-ritchie,Ritchie,53.5156492,-113.4923952
#121 10121 80 AV NW,2,2,802,"$229,900",https://www.realtor.ca/real-estate/29439750/121-10121-80-av-nw-edmonton-ritchie,Ritchie,53.5157075,-113.4929152
19732 28 AV NW,3,3,1625,"$509,900",https://www.realtor.ca/real-estate/29556273/19732-28-av-nw-edmonton-the-uplands,Kameyosek,53.4584335,-113.4370871
1015 EAST BEND NW,4,4,1663,"$525,000",https://www.realtor.ca/real-estate/29554810/1015-east-bend-nw-edmonton-edgemont-edmonton,Edgemont,53.4741917,-113.6634579
128 WEAVER DR NW,5,4,3047,"$969,900",https://www.realtor.ca/real-estate/29552561/128-weaver-dr-nw-edmonton-wedgewood-heights,Wedgewood Heights,53.4790300,-113.6436831
#211 5029 EDGEMONT BV NW,2,2,1092,"$398,000",https://www.realtor.ca/real-estate/29552526/211-5029-edgemont-bv-nw-edmonton-edgemont-edmonton,Edgemont,53.4675558,-113.6794990
