neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
4420,QUESNELL HEIGHTS,sipiwiyiniwak,360.0,125.0,0.20540082827210426,total_population,sum_household_size_distribution,N4420,neighbourhood
4430,RIO TERRACE,sipiwiyiniwak,1260.0,500.0,0.5778406597673893,total_population,sum_household_size_distribution,N4430,neighbourhood
4440,RIVER VALLEY LESSARD NORTH,sipiwiyiniwak,,,0.7874856665730476,,,N4440,neighbourhood
4451,RIVER VALLEY OLESKIW,sipiwiyiniwak,,,2.452108319848776,,,N4451,neighbourhood
4461,THE HAMPTONS,sipiwiyiniwak,12815.0,4450.0,2.9202531091868877,total_population,sum_household_size_distribution,N4461,neighbourhood
4462,EDGEMONT,sipiwiyiniwak,5055.0,1730.0,4.223736885935068,total_population,sum_household_size_distribution,N4462,neighbourhood
4463,RIVERVIEW AREA,sipiwiyiniwak,440.0,150.0,10.189070627093315,total_population,sum_household_size_distribution,N4463,neighbourhood
4464,THE UPLANDS,sipiwiyiniwak,830.0,305.0,3.0540063232183456,total_population,sum_household_size_distribution,N4464,neighbourhood
4466,CAMERON HEIGHTS,sipiwiyiniwak,2250.0,710.0,0.9605815671384335,total_population,sum_household_size_distribution,N4466,neighbourhood
4467,RIVER VALLEY CAMERON,sipiwiyiniwak,,,2.0088337287306786,,,N4467,neighbourhood
4468,STILLWATER,sipiwiyiniwak,900.0,355.0,3.3441699221730232,total_population,sum_household_size_distribution,N4468,neighbourhood
4469,RIVER'S EDGE,sipiwiyiniwak,,,3.5493278950452805,,,N4469,neighbourhood
4471,TRUMPETER AREA,Nakota Isga,2100.0,790.0,2.3310585767030716,total_population,sum_household_size_distribution,N4471,neighbourhood
4473,HAWKS RIDGE,Nakota Isga,930.0,325.0,1.4706024713814259,total_population,sum_household_size_distribution,N4473,neighbourhood
4474,STARLING,Nakota Isga,2015.0,750.0,1.3988637626171112,total_population,sum_household_size_distribution,N4474,neighbourhood
4475,KINOKAMAU PLAINS AREA,Nakota Isga,,,7.017936948686838,,,N4475,neighbourhood
4477,KINGLET GARDENS,Nakota Isga,305.0,120.0,2.614618416875601,total_population,sum_household_size_distribution,N4477,neighbourhood
4478,PINTAIL LANDING,Nakota Isga,,,2.1065157130360603,,,N4478,neighbourhood
4486,STEWART GREENS,Nakota Isga,1425.0,430.0,0.6407703943550587,total_population,sum_household_size_distribution,N4486,neighbourhood
4487,SECORD,Nakota Isga,8205.0,2540.0,2.6312204226851463,total_population,sum_household_size_distribution,N4487,neighbourhood
4490,SHEFFIELD INDUSTRIAL,Nakota Isga,,,0.37647610157728195,,,N4490,neighbourhood
4500,SHERWOOD,sipiwiyiniwak,1230.0,545.0,0.4369702376425266,total_population,sum_household_size_distribution,N4500,neighbourhood
4510,STONE INDUSTRIAL,Nakota Isga,,,0.6404047831892967,,,N4510,neighbourhood
4520,SUMMERLEA,sipiwiyiniwak,2000.0,860.0,1.0911305360496044,total_population,sum_household_size_distribution,N4520,neighbourhood
4530,SUNWAPTA INDUSTRIAL,Nakota Isga,,,0.6695534996688366,,,N4530,neighbourhood
4540,TERRA LOSA,Nakota Isga,2230.0,1135.0,0.7548513263463974,total_population,sum_household_size_distribution,N4540,neighbourhood
4551,GRANVILLE,sipiwiyiniwak,2995.0,920.0,1.3510127924382687,total_population,sum_household_size_distribution,N4551,neighbourhood
4560,THORNCLIFF,sipiwiyiniwak,3565.0,1295.0,0.8905141651630402,total_population,sum_household_size_distribution,N4560,neighbourhood
4570,WEDGEWOOD HEIGHTS,sipiwiyiniwak,1465.0,510.0,0.7026699185371399,total_population,sum_household_size_distribution,N4570,neighbourhood
