neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
6300,HILLVIEW,Karhiio,3430.0,1335.0,1.092830814421177,total_population,sum_household_size_distribution,N6300,neighbourhood
6310,HOLYROOD,Métis,3305.0,1430.0,1.2745462357997894,total_population,sum_household_size_distribution,N6310,neighbourhood
6320,IDYLWYLDE,Métis,1720.0,915.0,0.6592015251517296,total_population,sum_household_size_distribution,N6320,neighbourhood
6330,JACKSON HEIGHTS,Sspomitapi,4195.0,1400.0,1.2571521773934364,total_population,sum_household_size_distribution,N6330,neighbourhood
6340,KAMEYOSEK,Karhiio,2760.0,960.0,0.7154957428574562,total_population,sum_household_size_distribution,N6340,neighbourhood
6350,KENILWORTH,Métis,2415.0,1060.0,1.1386904679238796,total_population,sum_household_size_distribution,N6350,neighbourhood
6360,KING EDWARD PARK,Métis,4920.0,2365.0,1.481097012758255,total_population,sum_household_size_distribution,N6360,neighbourhood
6370,KINISKI GARDENS,Sspomitapi,6325.0,2155.0,1.9429886676371098,total_population,sum_household_size_distribution,N6370,neighbourhood
6380,LAMBTON INDUSTRIAL,Métis,,,0.6328819096088409,,,N6380,neighbourhood
6390,LARKSPUR,Sspomitapi,5470.0,1880.0,1.6441296190023422,total_population,sum_household_size_distribution,N6390,neighbourhood
6400,LEE RIDGE,Karhiio,2720.0,1005.0,0.8904117904603481,total_population,sum_household_size_distribution,N6400,neighbourhood
6410,MAPLE RIDGE,Sspomitapi,1665.0,830.0,0.6834000796079636,total_population,sum_household_size_distribution,N6410,neighbourhood
6420,MAPLE RIDGE INDUSTRIAL,Sspomitapi,,,3.7134401500225067,,,N6420,neighbourhood
6430,MCINTYRE INDUSTRIAL,Karhiio,,,1.5565932728350163,,,N6430,neighbourhood
6441,MAPLE,Sspomitapi,3920.0,1235.0,1.8162168115377426,total_population,sum_household_size_distribution,N6441,neighbourhood
6442,SILVER BERRY,Sspomitapi,8625.0,2525.0,2.1434611305594444,total_population,sum_household_size_distribution,N6442,neighbourhood
6443,TAMARACK,Sspomitapi,6860.0,1955.0,2.5237631499767303,total_population,sum_household_size_distribution,N6443,neighbourhood
6444,LAUREL,Sspomitapi,15270.0,4020.0,2.7795518152415752,total_population,sum_household_size_distribution,N6444,neighbourhood
6445,ASTER,Sspomitapi,,,2.0324191972613335,,,N6445,neighbourhood
6450,MENISA,Karhiio,2400.0,910.0,0.8972472660243511,total_population,sum_household_size_distribution,N6450,neighbourhood
6460,MEYOKUMIN,Karhiio,2880.0,1005.0,0.9658452533185482,total_population,sum_household_size_distribution,N6460,neighbourhood
6470,MEYONOHK,Karhiio,2910.0,1120.0,0.8665646575391293,total_population,sum_household_size_distribution,N6470,neighbourhood
6480,MICHAELS PARK,Karhiio,2120.0,805.0,0.8250130116939545,total_population,sum_household_size_distribution,N6480,neighbourhood
6491,MILL CREEK RAVINE NORTH,papastew,,,0.6970507018268108,,,N6491,neighbourhood
6492,MILL CREEK RAVINE SOUTH,papastew,,,0.7521599121391773,,,N6492,neighbourhood
6500,MILL WOODS GOLF COURSE,Karhiio,,,1.3823990672826767,,,N6500,neighbourhood
6510,MILL WOODS PARK,Karhiio,,,0.4862791560590267,,,N6510,neighbourhood
6520,MILL WOODS TOWN CENTRE,Karhiio,1185.0,630.0,0.5140262246131897,total_population,sum_household_size_distribution,N6520,neighbourhood
6530,MINCHAU,Sspomitapi,3115.0,1120.0,0.8978216089308262,total_population,sum_household_size_distribution,N6530,neighbourhood
6540,MORRIS INDUSTRIAL,Métis,,,1.2840592823922634,,,N6540,neighbourhood
6550,OTTEWELL,Métis,5915.0,2445.0,2.5623759999871254,total_population,sum_household_size_distribution,N6550,neighbourhood
6560,PAPASCHASE INDUSTRIAL,Karhiio,,,1.2275696359574795,,,N6560,neighbourhood
6570,PARSONS INDUSTRIAL,Karhiio,,,2.604884758591652,,,N6570,neighbourhood
6580,POLLARD MEADOWS,Sspomitapi,4360.0,1560.0,1.0437069199979305,total_population,sum_household_size_distribution,N6580,neighbourhood
6590,PYLYPOW INDUSTRIAL,Sspomitapi,,,3.4557282105088234,,,N6590,neighbourhood
6600,RICHFIELD,Karhiio,3455.0,1130.0,0.9363283887505531,total_population,sum_household_size_distribution,N6600,neighbourhood
6610,RITCHIE,papastew,4585.0,2380.0,1.2593245021998882,total_population,sum_household_size_distribution,N6610,neighbourhood
6620,RIVER VALLEY GOLD BAR,Métis,,,2.05325124040246,,,N6620,neighbourhood
6630,RIVER VALLEY RIVERSIDE,Métis,,,1.2387820482254028,,,N6630,neighbourhood
6640,ROPER INDUSTRIAL,Karhiio,,,2.9235125482082367,,,N6640,neighbourhood
6650,ROSEDALE INDUSTRIAL,papastew,,,0.45166341587901115,,,N6650,neighbourhood
6661,CHARLESWORTH,Karhiio,7675.0,2480.0,2.637607056647539,total_population,sum_household_size_distribution,N6661,neighbourhood
6662,WALKER,Karhiio,13385.0,4135.0,2.6121206767857075,total_population,sum_household_size_distribution,N6662,neighbourhood
6663,DECOTEAU,Sspomitapi,460.0,160.0,12.607905965298414,total_population,sum_household_size_distribution,N6663,neighbourhood
6665,ANTHONY HENDAY SOUTH EAST,Sspomitapi,,,7.271256651729345,,,N6665,neighbourhood
6667,MATTSON,Karhiio,,,2.618638437241316,,,N6667,neighbourhood
6668,MELTWATER,Sspomitapi,,,3.0673543885350227,,,N6668,neighbourhood
6669,ALCES,Sspomitapi,,,3.827838122844696,,,N6669,neighbourhood
6670,SAKAW,Karhiio,4065.0,1530.0,1.0990701988339424,total_population,sum_household_size_distribution,N6670,neighbourhood
6680,SATOO,Karhiio,3180.0,1215.0,1.3015545681118965,total_population,sum_household_size_distribution,N6680,neighbourhood
6690,SOUTHEAST INDUSTRIAL,Sspomitapi,,,6.921456489712,,,N6690,neighbourhood
6700,STRATHCONA INDUSTRIAL PARK,Karhiio,,,2.6542872563004494,,,N6700,neighbourhood
6710,STRATHEARN,Métis,2500.0,1420.0,0.7796130180358887,total_population,sum_household_size_distribution,N6710,neighbourhood
6720,TAWA,Karhiio,2045.0,880.0,0.6590378098189831,total_population,sum_household_size_distribution,N6720,neighbourhood
6730,TERRACE HEIGHTS,Métis,2165.0,1005.0,0.7533095814287663,total_population,sum_household_size_distribution,N6730,neighbourhood
6750,TIPASKAN,Karhiio,2875.0,1065.0,0.7974861077964306,total_population,sum_household_size_distribution,N6750,neighbourhood
6760,TWEDDLE PLACE,Karhiio,3090.0,1090.0,1.1098191291093826,total_population,sum_household_size_distribution,N6760,neighbourhood
6770,WEINLOS,Sspomitapi,3240.0,1185.0,0.9090638943016529,total_population,sum_household_size_distribution,N6770,neighbourhood
6780,WEIR INDUSTRIAL,Métis,,,1.6215121932327747,,,N6780,neighbourhood
6790,WILD ROSE,Sspomitapi,8535.0,2470.0,1.7573700100183487,total_population,sum_household_size_distribution,N6790,neighbourhood
8885,EDMONTON SOUTH CENTRAL EAST,Karhiio,,,7.259972549974918,,,N8885,neighbourhood
8886,EDMONTON SOUTH EAST,Sspomitapi,,,13.081997152417898,,,N8886,neighbourhood
8887,EDMONTON SOUTH CENTRAL,Ipiihkoohkanipiaohtsi,,,34.4272102303803,,,N8887,neighbourhood
8888,EDMONTON SOUTH WEST,pihêsiwin,340.0,145.0,27.880116507411003,total_population,sum_household_size_distribution,N8888,neighbourhood
8889,CROSSROADS,Ipiihkoohkanipiaohtsi,,,,,,N8889,neighbourhood
